1991.75	7	4.99	3.0366796
1992	7.3	3.8	2.5148813
1992.25	7.4	3.75	2.3968454
1992.5	7.7	3.21	2.1410371
1992.75	7.3	2.86	2.1619718
1993	7.3	3	2.2887858
1993.25	7.1	2.87	2.3105832
1993.5	6.9	3.04	2.3236745
1993.75	6.8	3.02	2.2839549
1994	6.6	2.98	2.1304244
1994.25	6.4	3.68	2.0135141
1994.5	6.1	4.33	2.1738394
1994.75	5.8	4.95	2.1655622
1995	5.6	5.71	2.1830844
1995.25	5.8	5.65	2.1238053
1995.5	5.7	5.42	1.9397956
1995.75	5.5	5.28	1.9525495
1996	5.6	5	1.9092557
1996.25	5.6	4.95	1.8761359
1996.5	5.5	5.15	1.932142
1996.75	5.2	4.99	1.8558458
1997	5.3	5.03	1.7802405
1997.25	5.1	5.16	1.7903114
1997.5	4.9	5.05	1.5702075
1997.75	4.7	4.97	1.4917156
1998	4.6	5.04	1.1930963
1998.25	4.3	4.95	1.0420711
1998.5	4.5	4.96	1.1293581
1998.75	4.5	3.96	1.0817408
1999	4.3	4.34	1.2258575
1999.25	4.3	4.29	1.4716879
1999.5	4.3	4.55	1.4510453
1999.75	4.1	4.86	1.6243382
2000	4	5.32	2.0745523
2000.25	3.8	5.66	2.1279209
2000.5	4	5.96	2.2637775
2000.75	3.9	6.11	2.2462554
2001	4.2	5.15	2.230794
2001.25	4.4	3.87	2.5155342
2001.5	4.6	3.51	2.4431121
2001.75	5.3	2.16	2.4183857
2002	5.7	1.65	2.0156245
2002.25	5.9	1.72	1.6169714
2002.5	5.8	1.68	1.6135943
2002.75	5.7	1.58	1.7493842
2003	5.8	1.17	2.1138934
2003.25	6	1.13	2.0511044
2003.5	6.2	0.9	2.1744755
2003.75	6	0.92	2.1710539
2004	5.7	0.88	2.3150688
2004.25	5.5	0.94	2.9186621
2004.5	5.5	1.33	2.9338936
2004.75	5.4	1.76	3.1771203
2005	5.2	2.33	3.1130419
2005.25	5.1	2.78	2.8001685
2005.5	5	3.22	3.0935632
2005.75	4.9	3.71	3.1082181
2006	4.7	4.24	3.0558095
2006.25	4.7	4.6	3.2754457
2006.5	4.8	4.95	2.9096952
